input,output,hint,weight,color
kha tâng kut,脚銅骨,,822,
kha té,kha-té,,700,
kha té,脚底,,809,
kha tê,kha-tê,,700,
kha tê,脚蹄,,805,
kha tê á,kha-tê-á,,700,
kha tê á,脚蹄仔,,809,
kha tóe,kha-tóe,,700,
kha tóe,脚底,,809,
kha tó͘,kha-tó͘,,700,
kha tó͘,脚肚,,809,
kha tôe,kha-tôe,,700,
kha tôe,脚蹄,,805,
kha tôe á,kha-tôe-á,,700,
kha tôe á,脚蹄仔,,809,
kha ìn,kha-ìn,,700,
kha ìn,脚印,,809,
kha āu teⁿ,kha-āu-teⁿ,,700,
kha āu teⁿ,脚后㬹,,608,
kha āu teⁿ,脚後㬹,,609,
khah,khah,,748,
khah,卡,,919,
khah,恰,,920,
khah chhia,khah-chhia,,700,
khah chhia,卡車,,809,
khah choa̍h,khah choa̍h,,700,
khah choa̍h,卡咀,,608,
khah choa̍h,卡絶,,606,
khah choa̍h,恰咀,,609,
khah choa̍h,恰絶,,607,
khah chá,khah chá,,727,
khah chá,卡早,,835,
khah chá,恰早,,836,
khah chē,khah chē,,713,
khah chē,卡多,,821,
khah chē,恰多,,822,
khah chōe,khah chōe,,709,
khah chōe,卡多,,817,
khah chōe,恰多,,818,
khah hó,khah hó,,727,
khah hó,卡好,,835,
khah hó,恰好,,836,
khah iâⁿ,khah iâⁿ,,727,
khah iâⁿ,卡嬴,,835,
khah iâⁿ,恰嬴,,836,
khah khì,khah khì,,700,
khah khì,卡去,,808,
khah khì,恰去,,809,
khah kóng,khah kóng,,713,
khah kóng,卡講,,821,
khah kóng,恰講,,822,
khah phìⁿ,khah-phìⁿ,,700,
khah phìⁿ,卡片,,809,
khah su,khah su,,727,
khah su,卡輸,,835,
khah su,恰輸,,836,
khah sàng,khà-sàng,,700,
khah thêng,khah thêng,,713,
khah thêng,卡停,,621,
khah thêng,恰停,,622,
khah thêng á,khah thêng-á,,713,
khah thêng á,khah-thêng-á,,700,
khah thêng á,卡停仔,,621,
khah thêng á,恰停仔,,622,
khah tōa bīn,khah tōa-bīn,,713,
khah tōa bīn,卡大面,,821,
khah tōa bīn,恰大面,,822,
khahⁿ,khahⁿ,,0,
khai,khai,,732,
khai,開,,887,
khai chîⁿ,khai chîⁿ,,727,
khai chîⁿ,開錢,,836,
khai hoat,khai-hoat,,700,
khai hoat,開發,,809,
khai hòng,khai-hòng,,713,
khai hòng,開放,,822,
khai kang,khai-kang,,700,
khai kang,開工,,801,
khai káng,khai-káng,,727,
khai káng,開講,,836,
khai siau,khai-siau,,713,
khai siau,開消,,822,
khai sí,khai-sí,,734,
khai sí,開始,,843,
khai tiang,khai-tiang,,700,
khai tiang,開張,,809,
khai tiong,khai-tiong,,700,
khai tiong,開張,,809,
khai têng,khai-têng,,700,
khai têng,開廷,,805,
khaih,khaih,,0,
khaihⁿ,khaihⁿ,,0,
khaiⁿ,khaiⁿ,,0,
khak,-khak,,700,
khak,khak,,700,
khak,壳,,865,
khak,殻,,75,
khak,確,,475,
khak,粬,,825,
khak chèng,khak-chèng,,700,
khak chèng,確証,,809,
khak jīm,khak-jīm,,709,
khak jīm,確認,,818,
khak jīn,khak-jīn,,713,
khak jīn,確認,,822,
khak khak si̍t si̍t,khak-khak si̍t-si̍t,,713,
khak khak si̍t si̍t,確確實實,,822,
khak si̍t,khak-si̍t,,727,
khak si̍t,確實,,836,
khak tēng,khak-tēng,,713,
khak tēng,確定,,822,
khak á,khak-á,,713,
khak á,壳仔,,822,
kham,kham,,0,
kham kham khia̍t khia̍t,khâm-khâm khia̍t-khia̍t,,700,
kham khia̍t,khâm-khia̍t,,700,
khan,khan,,733,
khan,刊,,888,
khan,牽,,918,
khan ang î,khan ang-î,,700,
khan ang î,牽尫姨,,809,
khan bu̍t,khan-bu̍t,,713,
khan bu̍t,刊物,,822,
khan chhiú,khan chhiú,動詞組,700,
khan chhiú,khan-chhiú,名詞,727,
khan chhiú,牽手,,836,
khan keⁿ,khan keⁿ,,700,
khan keⁿ,牽焿,,809,
khan keⁿ,牽焿个,,809,
khan keⁿ,牽焿兮,,808,
khan keⁿ ê,khan keⁿ ·ê,,713,
khan keⁿ ê,牽焿,,822,
khan keⁿ ê,牽焿个,,822,
khan keⁿ ê,牽焿兮,,821,
khan khioh,khan-khioh,,700,
khan khioh,牽拾,,609,
khan kiⁿ,khan keⁿ,,700,
khan kiⁿ,牽焿,,809,
khan kiⁿ,牽焿个,,809,
khan kiⁿ,牽焿兮,,808,
khan si,khan si,,700,
khan si,牽糸,,809,
khan si,牽絲,,808,
khan sia̍p,khan-sia̍p,,700,
khan sia̍p,牽渉,,809,
khan sêng,khan-sêng,,727,
khan sêng,牽成,,836,
khan thoa,khan-thoa,,713,
khan thoa,牽拖,,822,
khang,khang,,732,
khang,空,,922,
khang chhùi,khang-chhùi,,713,
khang chhùi,空口,,821,
khang chhùi,空嘴,,822,
khang khè,khang-khè,,727,
khang khè,工課,,636,
khang khè,空課,,635,
khang khòe,khang-khòe,,727,
khang khòe,工課,,636,
khang khòe,空課,,635,
khang phāng,khang-phāng,,713,
khang phāng,空縫,,822,
khap,khap,,700,
khap,哈,,70,
khap,恰,,80,
khap,磕,,89,
khap,蓋,,625,
khap,閤,,80,
khap,闔,,80,
khap poe,khap-poe,,713,
khap poe,蓋杯,,622,
khap sū,khap-sū,,700,
khap sū,恰似,,809,
khat,khat,,700,
khat,克,,287,
khat,揭,,615,
khat,渴,,477,
khau,khau,,713,
khau,䦰,,811,
khau,敲,,678,
khau,磽,,76,
khau,鬮,,811,
khau sé,khau-sé,,713,
khau sé,敲洗,,622,
khau sóe,khau-sóe,,709,
khau sóe,敲洗,,618,
khau to,khau-to,,713,
khau to,敲刀,,822,
khauh,khauh,,0,
khauhⁿ,khauhⁿ,,0,
khauⁿ,khauⁿ,,0,
kha̍h,kha̍h,,0,
kha̍hⁿ,kha̍hⁿ,,0,
kha̍ih,kha̍ih,,0,
kha̍ihⁿ,kha̍ihⁿ,,0,
kha̍k,kha̍k,,0,
kha̍p,kha̍p,,713,
kha̍p,盍,,-1,
kha̍p,磕,,628,
kha̍p bē tio̍h,kha̍p bē tio̍h,,713,
kha̍p bē tio̍h,磕袂着,,622,
kha̍p bōe tio̍h,kha̍p bōe tio̍h,,709,
kha̍p bōe tio̍h,磕袂着,,618,
kha̍p thâu,kha̍p-thâu,,700,
kha̍p thâu,磕頭,,809,
kha̍t,kha̍t,,0,
kha̍uh,kha̍uh,,0,
kha̍uhⁿ,kha̍uhⁿ,,0,
khaⁿ,khaⁿ,,700,
khaⁿ,硿,,632,
khaⁿ,𥑠,,631,
khaⁿ á,khaⁿ-á,,700,
khaⁿ á,硿仔,,809,
khaⁿ á,𥑠仔,,808,
khe,khe,,727,
khe,奎,,83,
khe,溪,,882,
khe,科,,276,
khe,葵,,67,
khe chiu,Khe-chiu,,713,
khe chiu,khe-chiu,,700,
khe chiu,溪州,,822,
khe chiu,溪洲,,821,
khe hâi,khe-hâi,,709,
khe hâi,科諧,,618,
khe kháu,Khe-kháu,,700,
khe kháu,溪口,,809,
khe khó,khe-khó,,700,
khe khó,稽考,,809,
khe sìⁿ,khe-sìⁿ,,709,
khe sìⁿ,科扇,,817,
khe sìⁿ,葵扇,,818,
khe á,khe-á,,700,
khe á,溪仔,,809,
kheh,Kheh,,700,
kheh,kheh,,713,
kheh,䀫,,622,
kheh,䀹,,623,
kheh,客,,801,
kheh,硤,,658,
kheh,篋,,80,
kheh,缺,,815,
kheh chiáu,kheh-chiáu,,700,
kheh chiáu,客鳥,,809,
kheh chng,Kheh-chng,,700,
kheh chng,客庄,,809,
kheh chàn,kheh-chàn,,700,
kheh chàn,客棧,,809,
kheh gí,Kheh-gí,,727,
kheh gí,客語,,836,
kheh gú,Kheh-gú,,713,
kheh gú,客語,,822,
kheh kam chià,kheh kam-chià,,700,
kheh kam chià,硤甘蔗,,601,
kheh khì,kheh-khì,,727,
kheh khì,客氣,,836,
kheh koan,kheh-koan,,727,
kheh koan,客觀,,836,
kheh lâng,Kheh-lâng,,727,
kheh lâng,客人,,836,
kheh sio,kheh sio,,713,
kheh thiaⁿ,kheh-thiaⁿ,,700,
kheh thiaⁿ,客厛,,809,
kheh thiaⁿ,客廳,,809,
kheh thêng chhia,kè-thêng-chhia,,700,
kheh á,kheh-á,,713,
kheh á,篋仔,,818,
kheh ōe,Kheh-ōe,,713,
kheh ōe,客話,,822,
kheh ūn,kheh-ūn,,700,
kheh ūn,客運,,809,
khehⁿ,khehⁿ,,0,
khek,khek,,700,
khek,克,,835,
khek,刻,,476,
khek,客,,484,
khek,曲,,855,
khek,𨻶,,88,
khek khui,khek-khui,,700,
khek khui,克虧,,809,
khek po̍k,khek-po̍k,,700,
khek po̍k,刻薄,,809,
khek pôaⁿ,khek-pôaⁿ,,700,
khek pôaⁿ,曲盤,,809,
kheng,kheng,,700,
kheng,傾,,476,
kheng,卿,,635,
kheng,坑,,77,
kheng,框,,635,
kheng,輕,,476,
kheng hun,kheng-hun,,700,
kheng hun,卿分,,609,
kheng piān,kheng-piān,,700,
kheng piān,輕便,,809,
kheng thih,kheng-thih,,700,
kheng thih,輕鉄,,809,
kheng thih,輕鐵,,809,
khe̍h,khe̍h,,700,
khe̍hⁿ,khe̍hⁿ,,0,
khe̍k,khe̍k,,0,
kheⁿ,kheⁿ,,700,
kheⁿ,坑,,845,
kheⁿ á,kheⁿ-á,,700,
kheⁿ á,坑仔,,809,
khi,khi,,700,
khi,キ,**khi,75,
khi,區,,475,
khi,崎,,84,
khi,拘,,475,
khi,摳,,73,
khi,樞,,64,
khi,欹,,623,
khi,欺,,624,
khi,駒,,486,
khi,驅,,475,
khi hū,khi-hū,,713,
khi hū,欺負,,813,
khi khiau,khi-khiau,,700,
khi khiau,欺蹺,,609,
khi mo͘ chih,khi-mo͘-chih,,700,
khi mo͘ chih,起毛志,,609,
khi mó͘ chih,khi-mó͘-chih,,713,
khi mó͘ chih,起毛志,,622,
khia,khia,,713,
khia,卡,,824,
khia,奇,,824,
khia,脚,,824,
khia,迦,,668,
khia khang,khia-khang,,713,
khia khang,迦空,,622,
khiah,khiah,,700,
khiah,𨻶,,835,
khiahⁿ,khiahⁿ,,0,
khiak,khiak,,0,
khiam,khiam,,0,
khiam,謙,,495,
khiam hi,khiam-hi,,700,
khiam hi,謙虛,,809,
khiam hu,謙虛,,809,
khian,khian,,713,
khian,愆,,100,
khian,搴,,91,
khian,牽,,625,
khian,鏗,,91,
khian,騫,1+,991,
khian á,khian-á,,713,
khian á,牽仔,,822,
khian á,騫仔,,822,
khiang,khiang,,0,
khiang,啌,,72,
khiang,腔,,81,
khiap,khiap,,700,
khiap,怯,,625,
khiap sì,khiap-sì,,700,
khiap sì,怯示,,609,
khiat,khiat,,700,
khiat,孑,4+,990,
khiau,khiau,,713,
khiau,蹺,,672,
khiau,𠁆,,672,
khiau kha,khiau-kha,,713,
khiau kha,蹺脚,,822,
khiau khi,khiau-khi,,700,
khiau khi,蹺欹,,603,
khiau khi,蹺欺,,604,
khiau khi,𠁆欹,,601,
khiau khi,𠁆欺,,602,
khiau ku,khiau-ku,,700,
khiau ku,蹺亀,,808,
khiau ku,蹺龜,,809,
khiau ku,𠁆亀,,808,
khiau ku,𠁆龜,,809,
khiauh,khiauh,,0,
khiauhⁿ,khiauhⁿ,,0,
khiauⁿ,khiauⁿ,,0,
khia̍h,khia̍h,,0,
khia̍hⁿ,khia̍hⁿ,,0,
khia̍k,khia̍k,,0,
khia̍p,khia̍p,,0,
khia̍t,khia̍t,,0,
khia̍uh,khia̍uh,,0,
khia̍uhⁿ,khia̍uhⁿ,,0,
khiaⁿ,khiaⁿ,,0,
khih,khih,,700,
khih,キ,**khih,75,
khih,缺,,815,
khih chhùi,khih-chhùi,,713,
khih chhùi,缺口,,821,
khih chhùi,缺嘴,,822,
khihⁿ,khihⁿ,,0,
khim,khim,,0,
khim,欽,,67,
khim kèng,khim-kèng,,700,
khim kèng,欽敬,,809,
khim phòe,khim-phòe,,700,
khim pōe,khim-pōe,,700,
khim pōe,欽佩,,801,
khin,khin,,727,
khin,輕,,882,
khin khin,khin-khin,,713,
khin khin,輕輕,,822,
khin khó,khin-khó,,713,
khin khó,輕可,,622,
khin sang,khin-sang,,713,
khin sang,輕鬆,,822,
khin siaⁿ,khin-siaⁿ,,700,
khin siaⁿ,輕声,,808,
khin siaⁿ,輕聲,,809,
khin siaⁿ sè soeh,khin-siaⁿ sè-soeh,,713,
khin siaⁿ sè soeh,輕声細說,,821,
khin siaⁿ sè soeh,輕聲細說,,822,
khin siaⁿ sòe seh,khin-siaⁿ sòe-seh,,709,
khin siaⁿ sòe seh,輕声細說,,817,
khin siaⁿ sòe seh,輕聲細說,,818,
khin tāng,khin-tāng,,713,
khin tāng,輕重,,822,
khio,khio,,0,
khioh,khioh,,727,
khioh,拾,,882,
khioh chiá,khioh-chiá,,700,
khioh chiá,拾姐,,609,
khioh ka̍k,khioh-ka̍k,,713,
khioh ka̍k,拾捔,,622,
khioh kéng,khioh kéng,,713,
khioh kéng,拾景,,622,
khiok,khiok,,0,
khiok,曲,,476,
khiok,脚,,486,
khiok,麯,,77,
khiok,麴,,74,
khiok sī,khiok sī,,700,
khiok sī,却是,,809,
khiong,khiong,,0,
khio̍h,khio̍h,,0,
khio̍k,khio̍k,,0,
khio̍͘h,khio̍͘h,,0,
khio͘,khio͘,,0,
khio͘h,khio͘h,,0,
khip,khip,,0,
khip,伋,,88,
khip,吸,,480,
khip,泣,,475,
khip siu,khip-siu,,713,
khip siu,吸收,,822,
khip ín,khip-ín,,700,
khip ín,吸引,,809,
khit,khit,,0,
khit,乞,,475,
khit chia̍h,khit-chia̍h,,700,
khit chia̍h,乞食,,809,
khit khì,khí khì,,700,
khit khì,起去,,809,
khit lih,khí-lì,,700,
khit lâi,khí lâi,,700,
khit lâi,起來,,809,
khit lì,khí-lì,,713,
khit lì,起去,,822,
khiu,khiu,,0,
khiu,丘,,484,
khiu,邱,,75,
khiuh,khiuh,,0,
khiuhⁿ,khiuhⁿ,,0,
khiu̍h,khiu̍h,,0,
khiu̍hⁿ,khiu̍hⁿ,,0,
khiuⁿ,khiuⁿ,,713,
khiuⁿ,腔,,828,
khiuⁿ kháu,khiuⁿ-kháu,,713,
khiuⁿ kháu,腔口,,822,
khià,khià,,0,
khiài,·khí ·lâi,,700,
khiài,起來,,809,
khiàm,khiàm,,727,
khiàm,欠,,902,
khiàm iōng,khiàm iōng,,700,
khiàm iōng,khiàm-iōng,,700,
khiàm iōng,欠用,,809,
khiàm thui,khiàm thui,,713,
khiàm thui,欠梯,,822,
khiàm tiám,khiàm-tiám,,713,
khiàm tiám,欠点,,821,
khiàm tiám,欠點,,822,
khiàm ēng,khiàm ēng,,700,
khiàm ēng,khiàm-ēng,,713,
khiàm ēng,欠用,,822,
khiàn,khiàn,,0,
khiàn,譴,,90,
khiàn,遣,2+3,991,
khiàn chek,khiàn-chek,,700,
khiàn chek,譴責,,809,
khiàn phang,khiàn phang,,700,
khiàn sńg,khiàn-sńg,,700,
khiàn sńg,遣損,,609,
khiàn sńg,遣爽,,608,
khiàn thian,khiàn-thian,,700,
khiàng,khiàng,,700,
khiàng,慶,,615,
khiàng kha,khiàng-kha,,713,
khiàng kha,慶脚,,622,
khiàu,khiàu,,727,
khiàu,竅,,673,
khiàu,蹺,,674,
khiàu khiàu,khiàu-khiàu,,700,
khiàu khiàu,竅竅,,808,
khiàu khiàu,蹺蹺,,809,
khiàu ko͘ lián,khiàu ko͘ lián,,713,
khiàu ko͘ lián,竅孤輦,,821,
khiàu ko͘ lián,蹺孤輦,,822,
khiàu thâu,khiàu-thâu,,700,
khiàuⁿ,khiàuⁿ,,0,
khiàⁿ,khiàⁿ,,0,
khiàⁿ,慶,,293,
khiá,khiá,,0,
khiám,khiám,,0,
khián,khián,,0,
khián,犬,,491,
khián,甽,,97,
khián,畎,,100,
khián,肯,,282,
khián,遣,2+3,991,
khiáng,khiáng,,0,
khiáu,khiáu,,727,
khiáu,巧,,912,
khiáuⁿ,khiáuⁿ,,0,
khiáⁿ,khiáⁿ,,0,
khiâ,khiâ,,727,
khiâ,騎,,882,
khiâm,khiâm,,0,
khiâm,鉗,,65,
khiân,khiân,,0,
khiân,乾,,506,
khiân,虔,,99,
khiân sêng,khiân-sêng,,700,
khiân sêng,虔誠,,809,
khiâng,khiâng,,0,
khiâu,khiâu,,0,
khiâuⁿ,khiâuⁿ,,0,
khiâⁿ,khiâⁿ,,0,
khiò,khiò,,0,
khiò,叩,,67,
khiò,寇,,496,
khiò,扣,,76,
khiòng,khiòng,,0,
khiò͘,khiò͘,,0,
khió,khió,,0,
khió,口,,497,
khióng,khióng,,0,
khióng,恐,,481,
khióng hat,khióng-hat,,713,
khióng hat,恐喝,,822,
khióng pò͘,khióng-pò͘,,713,
khióng pò͘,恐怖,,822,
khió͘,khió͘,,0,
khiô,khiô,,0,
khiông,khiông,,0,
khiô͘,khiô͘,,0,
khiù,khiù,,0,
khiùⁿ,khiùⁿ,,0,
khiú,khiú,,727,
khiú,扭,,661,
khiú,拞,,660,
khiú āu kha,khiú āu-kha,,709,
khiú āu kha,拞后脚,,617,
khiú āu kha,拞後脚,,618,
khiúⁿ,khiúⁿ,,0,
khiû,khiû,,713,
khiû,球,,668,
khiû,球,kiû,284,
khiûⁿ,khiûⁿ,,0,
khiā,khiā,,733,
khiā,立,,698,
khiā,竪,,698,
khiā gô,khiā-gô,,700,
khiā gô,立鵝,,809,
khiā gô,竪鵝,,809,
khiā ke,khiā-ke,,713,
khiā ke,立家,,622,
khiā ke,竪家,,622,
khiā khí,khiā-khí,,713,
khiā khí,立起,,622,
khiā khí,竪起,,622,
khiā lâng pêng,khiā-lâng-pêng,,700,
khiā lâng pêng,立人平,,609,
khiā lâng pêng,竪人平,,609,
khiā siû,khiā-siû,,700,
khiā siû,立泅,,809,
khiā siû,竪泅,,809,
khiām,khiām,,713,
khiām,儉,,858,
khiām,鐱,,66,
khiām tn̂g neh tō͘,khiām tn̂g neh tō͘,,700,
khiām tn̂g neh tō͘,儉腸呢肚,,809,
khiān,khiān,,0,
khiāng,khiāng,,0,
khiāu,khiāu,,0,
khiāuⁿ,khiāuⁿ,,0,
khiāⁿ,khiāⁿ,,0,
khiă,khiă,,0,
khiăm,khiăm,,0,
khiăn,khiăn,,0,
khiăng,khiăng,,0,
khiău,khiău,,0,
khiăuⁿ,khiăuⁿ,,0,
khiăⁿ,khiăⁿ,,0,
khiō,khiō,,0,
khiōng,khiōng,,0,
khiō͘,khiō͘,,0,
khiŏ,khiŏ,,0,
khiŏng,khiŏng,,0,
khiŏ͘,khiŏ͘,,0,
khiū,khiū,,713,
khiū,𩚨,,638,
khiū teh teh,khiū teh-teh,,713,
khiū teh teh,𩚨塊塊,,822,
khiū tè tè,khiū teh-teh,,700,
khiūⁿ,khiūⁿ,,0,
khiŭ,khiŭ,,0,
khiŭⁿ,khiŭⁿ,,0,
khi̍h,khi̍h,,0,
khi̍h khi̍h,khī-khī,,700,
khi̍h khi̍h,柿柿,,601,
khi̍h khi̍h,義義,,601,
khi̍h khi̍h chhoah,khī-khī chhoah,,700,
khi̍h khi̍h chhoah,柿柿攃,,609,
khi̍h khi̍h chhoah,義義攃,,609,
khi̍hⁿ,khi̍hⁿ,,0,
khi̍p,khi̍p,,0,
khi̍t,khi̍t,,0,
khi̍t á,khi̍t-á,,700,
khi̍t á,杙仔,,809,
khiⁿ,kheⁿ,,700,
khiⁿ,khiⁿ,,0,
khiⁿ á,kheⁿ-á,,700,
khng,Khng,,700,
khng,khng,,0,
khng,康,,835,
khng,糠,,72,
khngh,khngh,,0,
khn̂g,khn̂g,,0,
khn̄g,khn̄g,,0,
khn̆g,khn̆g,,0,
khn̍gh,khn̍gh,,0,
kho,kho,,700,
kho,科,,835,
kho ha̍k,kho-ha̍k,,713,
kho ha̍k,科學,,822,
kho ki,kho-ki,,727,
kho ki,科技,,836,
khoa,khoa,,0,
khoa,誇,,489,
khoa,跨,,80,
khoa kháu,khoa-kháu,,700,
khoa kháu,誇口,,809,
khoah,khoah,,727,
khoah,渴,,277,
khoah,濶,,892,
khoah bóng bóng,khoah bóng-bóng,,700,
khoah bóng bóng,濶罔罔,,809,
khoah long long,khoah long-long,,700,
khoah long long,濶浪浪,,609,
khoah lòng lòng,khoah lòng-lòng,,700,
khoah lòng lòng,濶郎郎,,609,
khoah lòng lòng,濶𢭗𢭗,,609,
khoahⁿ,khoahⁿ,,0,
khoai,khoai,,0,
khoaih,khoaih,,0,
khoaihⁿ,khoaihⁿ,,0,
khoaiⁿ,khoaiⁿ,,0,
khoak,khoak,,0,
khoan,khoan,,0,
khoan,寛,,475,
khoan,寬,,484,
khoang,khoang,,0,
khoat,khoat,,0,
khoat,厥,,475,
khoat,濶,,92,
khoat,缺,,476,
khoat,蕨,,67,
khoat,闊,,101,
khoat,闕,,86,
khoat tiám,khoat-tiám,,700,
khoat tiám,缺点,,808,
khoat tiám,缺點,,809,
khoa̍h,khoa̍h,,0,
khoa̍hⁿ,khoa̍hⁿ,,0,
khoa̍ih,khoa̍ih,,0,
khoa̍ihⁿ,khoa̍ihⁿ,,0,
khoa̍k,khoa̍k,,0,
khoa̍t,khoa̍t,,0,
khoaⁿ,khoaⁿ,,0,
khoaⁿ,寛,,275,
khoaⁿ khoaⁿ,khoaⁿ-khoaⁿ,,700,
khoaⁿ khoaⁿ,寛寛,,809,
khoaⁿ khoaⁿ á,khoaⁿ-khoaⁿ-á,,713,
khoaⁿ khoaⁿ á,寛寛仔,,822,
khoaⁿ á sī,khoaⁿ-á-sī,,713,
khoaⁿ á sī,寛仔是,,621,
khoaⁿ á sī,寛仔示,,622,
khoe,khoe,,723,
khoe,恢,,85,
khoe,溪,,878,
khoe,科,,276,
khoe,葵,,67,
khoe,魁,1+5,996,
khoe chiu,Khoe-chiu,,709,
khoe chiu,khoe-chiu,,700,
khoe chiu,溪州,,818,
khoe chiu,溪洲,,817,
khoe ho̍k,khoe-ho̍k,,700,
khoe ho̍k,恢復,,809,
khoe hâi,khoe-hâi,,713,
khoe hâi,科諧,,622,
khoe kháu,Khoe-kháu,,700,
khoe kháu,溪口,,809,
khoe sìⁿ,khoe-sìⁿ,,713,
khoe sìⁿ,科扇,,821,
khoe sìⁿ,葵扇,,822,
khoe á,khoe-á,,700,
khoe á,溪仔,,809,
khoeh,khoeh,,709,
khoeh,䀫,,622,
khoeh,䀹,,623,
khoeh,硤,,654,
khoeh,篋,,80,
khoeh,缺,,815,
khoeh kam chià,khoeh kam-chià,,700,
khoeh kam chià,硤甘蔗,,601,
khoeh á,khoeh-á,,700,
khoeh á,篋仔,,805,
khoehⁿ,khoehⁿ,,0,
khoe̍h,khoe̍h,,0,
khoe̍hⁿ,khoe̍hⁿ,,0,
khoeⁿ,khoeⁿ,,0,
khoh,khoh,,0,
khok,khok,,700,
khok,哭,,499,
khok,擴,,475,
khok,鵠,,79,
khok chhiong,khok-chhiong,,713,
khok chhiong,擴充,,822,
khok hêng,khok-hêng,,700,
khok hêng,酷刑,,809,
khok khok,khok-khok,,700,
khok khok,鵠鵠,,609,
khok thâu,khok-thâu,,713,
khok thâu,鵠頭,,822,
khok tiang,khok-tiang,,700,
khok tiang,擴張,,805,
khok tiong,khok-tiong,,700,
khok tiong,擴張,,805,
khok tāi,khok-tāi,,709,
khok tāi,擴大,,809,
khok tōa,khok-tōa,,713,
khok tōa,擴大,,813,
khok á,khok-á,,700,
khom,khom,,0,
khong,khong,,700,
khong,康,,478,
khong,槓,,66,
khong,空,,635,
khong,糠,,72,
khong kan,khong-kan,,713,
khong kan,空間,,822,
khong khong,khong-khong,,713,
khong khong,空空,,622,
khong khám,khong-khám,,713,
khong khám,空坎,,622,
khong khì,khong-khì,,713,
khong khì,空氣,,822,
khong á liâu,Khong-á-liâu,,700,
khong á liâu,槓仔寮,,809,
khop,khop,,700,
khop,蓋,,625,
khoài,khoài,,729,
khoài,塊,,508,
khoài,快,,899,
khoài lo̍k,khoài-lo̍k,,727,
khoài lo̍k,快樂,,836,
khoàiⁿ,khoàiⁿ,,0,
khoàiⁿ,khòaⁿ kìⁿ,,700,
khoàiⁿ,快活,(khoài),-1,
khoàiⁿ,看見,,880,
khoàiⁿ oa̍h,khoàiⁿ-oa̍h,,713,
khoàiⁿ oa̍h,快活,,822,
khoàn,khoàn,,0,
khoàn,券,,486,
khoàn,劝,,104,
khoàn,勸,,510,
khoàng,khoàng,,0,
khoái,khoái,,0,
khoáiⁿ,khoáiⁿ,,0,
khoán,khoán,,741,
khoán,欵,,702,
khoán,欵,～款,931,
khoán,款,,92,
khoán sek,欵式,,809,
khoán sit,khoán-sit,,713,
khoán sit,欵式,,822,
khoán thāi,khoán-thāi,,713,
khoán thāi,欵待,,822,
khoáng,khoáng,,0,
khoâi,khoâi,,0,
khoâiⁿ,khoâiⁿ,,0,
khoân,khoân,,0,
khoân,拳,,481,
khoân,權,,287,
khoân,環,,307,
khoân kéng,khoân-kéng,,729,
khoân kéng,環境,,829,
khoân le̍k,khoân-le̍k,,700,
khoân le̍k,權力,,809,
khoân lī,khoân-lī,,713,
khoân lī,權利,,822,
khoân pó,khoân-pó,,700,
khoân pó,環保,,809,
khoâng,khoâng,,0,
khoāi,khoāi,,0,
khoāiⁿ,khoāiⁿ,,0,
khoān,khoān,,0,
khoāng,khoāng,,0,
khoăi,khoăi,,0,
khoăiⁿ,khoăiⁿ,,0,
khoăn,khoăn,,0,
khoăng,khoăng,,0,
kho̍h,kho̍h,,0,
kho̍k,kho̍k,,700,
kho̍k,鵠,,635,
kho̍k hî,kho̍k-hî,,709,
kho̍k hî,鰐魚,,817,
kho̍k hî,鱷魚,,818,
kho̍k kho̍k,kho̍k-kho̍k,,700,
kho̍k kho̍k,鵠鵠,,609,
kho̍p,kho̍p,,0,
kho̍͘h,kho̍͘h,,0,
kho̍͘hⁿ,kho̍͘hⁿ,,0,
kho̤,kho̤,,0,
kho̤,科,,276,
kho̤,葵,,67,
kho̤e,kho̤e,,0,
kho̤e,溪,,287,
kho̤eh,kho̤eh,,0,
kho̤h,kho̤h,,0,
kho̤h,缺,,276,
kho̤̍eh,kho̤̍eh,,0,
kho̤̍h,kho̤̍h,,0,
kho͘,kho͘,,734,
kho͘,元,,899,
kho͘,匝,,900,
kho͘,摳,,73,
kho͘,枯,,494,
kho͘,科,,476,
kho͘,篐,,901,
kho͘ gîn,kho͘ gîn,,700,
kho͘ gîn,元銀,,807,
kho͘ gîn,匝銀,,808,
kho͘ gîn,篐銀,,809,
kho͘ gûn,kho͘ gûn,,700,
kho͘ gûn,元銀,,807,
kho͘ gûn,匝銀,,808,
kho͘ gûn,篐銀,,809,
kho͘ á,kho͘-á,,713,
kho͘ á,匝仔,,821,
kho͘ á,篐仔,,822,
kho͘ á lāi,kho͘-á-lāi,,700,
kho͘ á lāi,匝仔內,,808,
kho͘ á lāi,篐仔內,,809,
kho͘h,kho͘h,,0,
kho͘hⁿ,kho͘hⁿ,,0,
kho͘ⁿ,kho͘ⁿ,,0,
khu,Khu,,713,
khu,khu,,700,
khu,丘,,852,
khu,區,1+45,975,
khu,坵,,852,
khu,拘,,475,
khu,摳,,73,
khu,邱,,848,
khu,駒,,486,
khu,驅,,475,
khu la buh,khu-la-buh,,700,
khu lo̍k pō͘,khu-lo̍k-pō͘,,713,
khu lo̍k pō͘,區樂部,,814,
khu lá buh,khu-lá-buh,,713,
khu pia̍t,khu-pia̍t,,700,
khu pia̍t,區別,,809,
khu pia̍t,區别,,808,
khuh,khuh,,0,
khuh,區,1+45,975,
khuh khuh sàu,khuh-khuh sàu,,713,
khuh khuh sàu,區區嗽,,621,
